ID,Name,Type,Rarity,Max Level,Can Be Starter,Starter Weight,Boss Weight,Evolution Stage,Title 1,Title 1 Unlock Amount,Title 2,Title 2 Unlock Amount,Title 3,Title 3 Unlock Amount,Title 4,Title 4 Unlock Amount,Title 5,Title 5 Unlock Amount,Evolution Form Id,Base HP,Base Attack,Base Defense,Base Speed,Spawn Weight,Job Skill,Hp Regen Per Hour,Fatigue Rate Per Hour,Fatigue Cooldown Hours,Personality,Basic Attack Name,Basic Attack Prefab Lifetime,Icon Path,Back Icon Path,Shiny Icon Path,Shiny Back Icon Path,Description
M-001,Ignirix,Fire,Rare,50,No,0,0,1,T-268,2,T-008,6,T-041,10,T-055,14,N/A,N/A,,60,78,22,40,2,1.08,5.7,11,7.2,Aggressive,Flame Bite,Fire,Assets/Art/Monsters/Fire/Rare/Ignirix_front.png,Assets/Art/Monsters/Fire/Rare/Ignirix_back.png,Assets/Art/Monsters/Fire/Rare/Ignirix_frontshiny.png,Assets/Art/Monsters/Fire/Rare/Ignirix_backshiny.png,"A volatile fire beast that lunges headfirst into battle, burning hot and fast with little regard for defense."
M-002,Emrix,Fire,Common,50,Yes,10,0,1,T-138,3,T-125,10,N/A,N/A,N/A,N/A,N/A,N/A,M-003,48,56,18,28,8,0.95,4.6,11,7.2,Aggressive,Ember Snap,Fire,Assets/Art/Monsters/Fire/Common/Emrix_front.png,Assets/Art/Monsters/Fire/Common/Emrix_back.png,Assets/Art/Monsters/Fire/Common/Emrix_frontshiny.png,Assets/Art/Monsters/Fire/Common/Emrix_backshiny.png,"A small fire sprite that darts forward with quick, reckless bites of flame."
M-003,Emrixen,Fire,Uncommon,50,Yes,2,0,2,T-305,2,T-001,10,T-040,14,N/A,N/A,N/A,N/A,M-004,54,66,22,28,4.5,1,5.1,11,7.2,Aggressive,Flare Claw,Fire,Assets/Art/Monsters/Fire/Uncommon/Emrixen_front.png,Assets/Art/Monsters/Fire/Uncommon/Emrixen_back.png,Assets/Art/Monsters/Fire/Uncommon/Emrixen_frontshiny.png,Assets/Art/Monsters/Fire/Uncommon/Emrixen_backshiny.png,"Its flames grow steadier and stronger, trading some speed for sharper, burning strikes."
M-004,Pyren,Fire,Rare,50,No,0,0,3,T-019,2,T-071,6,T-161,10,T-166,14,N/A,N/A,,60,78,22,40,2,1.08,5.7,11,7.2,Aggressive,Inferno Rend,Fire,Assets/Art/Monsters/Fire/Rare/Pyren_front.png,Assets/Art/Monsters/Fire/Rare/Pyren_back.png,Assets/Art/Monsters/Fire/Rare/Pyren_frontshiny.png,Assets/Art/Monsters/Fire/Rare/Pyren_backshiny.png,"A fully ignited fire beast that overwhelms foes with fast, searing assaults."
M-005,Flaren,Fire,Epic,50,No,0,0,1,T-287,1,T-042,4,T-269,8,T-056,12,T-047,15,,68,96,30,41,0.7,1.15,6.5,12.9,6.5,Berserker,Blaze Crush,Fire,Assets/Art/Monsters/Fire/Epic/Flaren_front.png,Assets/Art/Monsters/Fire/Epic/Flaren_back.png,Assets/Art/Monsters/Fire/Epic/Flaren_frontshiny.png,Assets/Art/Monsters/Fire/Epic/Flaren_backshiny.png,A heavily armored fire brute that smashes through enemies with explosive force and relentless heat.
M-006,Budrel,Grass,Common,50,Yes,10,0,1,T-153,3,T-170,10,N/A,N/A,N/A,N/A,N/A,N/A,M-007,58,40,34,18,8,0.95,6.4,8.5,7.9,Supportive,Leaf Peck,Grass,Assets/Art/Monsters/Grass/Common/Budrel_front.png,Assets/Art/Monsters/Grass/Common/Budrel_back.png,Assets/Art/Monsters/Grass/Common/Budrel_frontshiny.png,Assets/Art/Monsters/Grass/Common/Budrel_backshiny.png,A gentle sprout creature that supports allies while pecking foes with hardened leaves.
M-007,Vinel,Grass,Uncommon,50,Yes,2,0,2,T-009,2,T-045,10,T-050,14,N/A,N/A,N/A,N/A,M-008,66,46,38,20,4.5,1,7.3,8.5,7.9,Supportive,Vine Lash,Grass,Assets/Art/Monsters/Grass/Uncommon/Vinel_front.png,Assets/Art/Monsters/Grass/Uncommon/Vinel_back.png,Assets/Art/Monsters/Grass/Uncommon/Vinel_frontshiny.png,Assets/Art/Monsters/Grass/Uncommon/Vinel_backshiny.png,"Its body thickens with vines, offering stronger protection and steadier healing presence."
M-008,Flororn,Grass,Rare,50,No,0,0,3,T-046,2,T-051,6,T-087,10,T-177,14,N/A,N/A,,74,52,44,30,2,1.08,8.2,8.5,7.9,Guardian,Bloom Guard,Grass,Assets/Art/Monsters/Grass/Rare/Flororn_front.png,Assets/Art/Monsters/Grass/Rare/Flororn_back.png,Assets/Art/Monsters/Grass/Rare/Flororn_frontshiny.png,Assets/Art/Monsters/Grass/Rare/Flororn_backshiny.png,"A mature forest guardian that shields allies and strikes back with controlled, verdant force."
M-009,Thornel,Grass,Epic,50,No,0,0,1,T-052,1,T-146,4,T-387,8,T-190,12,T-237,15,,86,62,64,23,0.7,1.15,9.5,7.2,8.6,Guardian,Thorn Break,Grass,Assets/Art/Monsters/Grass/Epic/Thornel_front.png,Assets/Art/Monsters/Grass/Epic/Thornel_back.png,Assets/Art/Monsters/Grass/Epic/Thornel_frontshiny.png,Assets/Art/Monsters/Grass/Epic/Thornel_backshiny.png,"A hardened forest sentinel that advances slowly, striking with crushing vines and enduring immense punishment."
M-010,Petorn,Grass,Rare,50,No,0,0,1,T-194,2,T-150,6,T-236,10,T-361,14,N/A,N/A,,62,58,44,36,2,1.08,7,8.5,7.9,Opportunist,Petal Slash,Grass,Assets/Art/Monsters/Grass/Rare/Petorn_front.png,Assets/Art/Monsters/Grass/Rare/Petorn_back.png,Assets/Art/Monsters/Grass/Rare/Petorn_frontshiny.png,Assets/Art/Monsters/Grass/Rare/Petorn_backshiny.png,"A swift grass hunter that darts through foliage, striking at openings with sharp petals before retreating."
