id,displayname,description,trigger,goal,useTypeFilter,typeFilter,useResourceFilter,resourceFilter,secretUntilUnlocked,iconAssetPath,category
A-001,First Capture,Capture your first Bitling in the field.,TotalCaptures,1,FALSE,,FALSE,,FALSE,,Collection
A-002,Getting Started,Capture 10 Bitlings.,TotalCaptures,10,FALSE,,FALSE,,FALSE,,Collection
A-003,Field Researcher,Capture 25 Bitlings.,TotalCaptures,25,FALSE,,FALSE,,FALSE,,Collection
A-004,Monster Collector,Capture 50 Bitlings.,TotalCaptures,50,FALSE,,FALSE,,FALSE,,Collection
A-005,Containment Specialist,Capture 100 Bitlings.,TotalCaptures,100,FALSE,,FALSE,,FALSE,,Collection
A-006,BRN Asset Handler,Capture 200 Bitlings.,TotalCaptures,200,FALSE,,FALSE,,FALSE,,Collection
A-007,Archive Complete,Capture 500 Bitlings.,TotalCaptures,500,FALSE,,FALSE,,TRUE,,Collection
A-008,Fire Registrar,Capture 25 Fire-type Bitlings.,CapturesByType,25,TRUE,Fire,FALSE,,FALSE,,Collection
A-009,Water Registrar,Capture 25 Water-type Bitlings.,CapturesByType,25,TRUE,Water,FALSE,,FALSE,,Collection
A-010,Grass Registrar,Capture 25 Grass-type Bitlings.,CapturesByType,25,TRUE,Grass,FALSE,,FALSE,,Collection
A-011,Electric Registrar,Capture 25 Electric-type Bitlings.,CapturesByType,25,TRUE,Electric,FALSE,,FALSE,,Collection
A-012,Ice Registrar,Capture 25 Ice-type Bitlings.,CapturesByType,25,TRUE,Ice,FALSE,,FALSE,,Collection
A-013,Rock Registrar,Capture 25 Rock-type Bitlings.,CapturesByType,25,TRUE,Rock,FALSE,,FALSE,,Collection
A-014,Umbral Registrar,Capture 25 Umbral-type Bitlings.,CapturesByType,25,TRUE,Umbral,FALSE,,TRUE,,Collection
A-015,Wyrm Registrar,Capture 25 Wyrm-type Bitlings.,CapturesByType,25,TRUE,Wyrm,FALSE,,TRUE,,Collection
A-016,Team Formation,Own 10 Bitlings.,OwnMonstersCount,10,FALSE,,FALSE,,FALSE,,Collection
A-017,Growing Menagerie,Own 25 Bitlings.,OwnMonstersCount,25,FALSE,,FALSE,,FALSE,,Collection
A-018,Full Roster,Own 50 Bitlings.,OwnMonstersCount,50,FALSE,,FALSE,,FALSE,,Collection
A-019,Private Reserve,Own 100 Bitlings.,OwnMonstersCount,100,FALSE,,FALSE,,TRUE,,Collection
A-020,Diverse Contacts,Discover 5 Bitling types.,DiscoverTypesCount,5,FALSE,,FALSE,,FALSE,,Discovery
A-021,Broad Survey,Discover 10 Bitling types.,DiscoverTypesCount,10,FALSE,,FALSE,,FALSE,,Discovery
A-022,Type Catalogued,Discover all 16 Bitling types.,DiscoverTypesCount,16,FALSE,,FALSE,,TRUE,,Discovery
A-023,First Favorite,Mark 1 Bitling as a favorite.,FavoritesCount,1,FALSE,,FALSE,,FALSE,,Profile
