ID,DisplayName,FromType,FromAmount,ToType,ToAmount
R-001,Credit Melt,Credits,100,Material,5
R-002,Energy Refill,Credits,150,Energy,5
R-003,Medkit Breakdown,Medkit,5,Material,10
R-004,Permit Recycling,PPEPermit,2,Material,8
R-005,Flyer Pulp,Flyer,5,Material,6
R-006,Work Order Salvage,WorkOrder,2,Material,10
R-007,Favor Cash-In,Favor,2,Credits,120
R-008,Training Scrap,TrainingVoucher,1,Material,12
R-009,Wellness Blend,WellnessVoucher,1,Coffee,3
R-010,Efficiency Strip,EfficiencyVoucher,1,Material,12
R-011,Orb Distill,ShinyOrb,1,BlessingScale,1
R-012,Scale Refine,BlessingScale,1,GrowthCore,12
R-013,Coffee Burn,Coffee,3,Energy,8
R-014,Core Refine,GrowthCore,20,PackVoucher,5
R-015,Pack Compression,PackVoucher,2,Material,20
R-016,Material Press,Material,50,Credits,250
R-017,Material Burn,Material,30,Energy,5
R-018,Core Pulse,GrowthCore,10,BlessingScale,1
R-019,Credit Wash,Credits,200,Coffee,2
R-020,Scale Purge,BlessingScale,1,Material,15
R-021,Medkit Exchange,Medkit,3,Coffee,2
R-022,Permit Trade,PPEPermit,1,Credits,90
R-023,Flyer Trade,Flyer,4,Favor,1
R-024,Order Filing,WorkOrder,3,Credits,180
R-025,Favor Push,Favor,1,Energy,3
R-026,Training Grind,TrainingVoucher,2,EfficiencyVoucher,1
R-027,Wellness Recovery,WellnessVoucher,2,Medkit,3
R-028,Efficiency Drive,EfficiencyVoucher,2,Energy,10
R-029,Orb Fracture,ShinyOrb,1,Material,40
R-030,Scale Infusion,BlessingScale,2,Energy,12
R-031,Coffee Focus,Coffee,2,EfficiencyVoucher,1
R-032,Core Fragmentation,GrowthCore,5,Material,35
R-033,Voucher Press,PackVoucher,3,Credits,220
R-034,Credit Compression,Credits,500,Energy,12
R-035,Material Fusion,Material,100,GrowthCore,8
R-036,Permit Melt,PPEPermit,3,Energy,6
R-037,Flyer Burn,Flyer,8,Coffee,1
R-038,Work Order Convert,WorkOrder,2,Favor,1
R-039,Favor Leverage,Favor,3,PackVoucher,1
R-040,Training Convert,TrainingVoucher,1,GrowthCore,6
R-041,Wellness Convert,WellnessVoucher,1,BlessingScale,1
R-042,Efficiency Convert,EfficiencyVoucher,1,WorkOrder,2
R-043,Orb Charge,ShinyOrb,1,Energy,15
R-044,Scale Blessing,BlessingScale,2,Favor,2
R-045,Coffee Trade,Coffee,4,Credits,140
R-046,Core Overdrive,GrowthCore,25,Energy,20
R-047,Pack Ration,PackVoucher,1,Medkit,2
R-048,Material Voucher,Material,120,PackVoucher,8
R-049,Credit Permit,Credits,180,PPEPermit,1
R-050,Energy Brew,Energy,10,Coffee,3
