ID,Name,Core Type,Description,Stat/Effect Target,Operation,Value,Rarity,Weight,Recommended Monster Types,Notes
T-001,Apprentice,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 10.,ATK,Add,10,Uncommon,83,"Fire, Clash","Fits Fire, Clash."
T-002,Firefighter,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 10.,HP,Percent,10,Uncommon,61,"Grass, Ground","Fits Grass, Ground."
T-003,Mechanic,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.1.,ATK,Multiply,1.1,Common,87,"Umbral, Corrupt","Fits Umbral, Corrupt."
T-004,Nurse,DamageFilterTitleSO,Reduces incoming damage. Value: 0.9.,Damage,Multiply,0.9,Common,80,"Water, Rock","Fits Water, Rock."
T-005,Technician,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.1.,Effectiveness,Multiply,1.1,Common,68,"Fire, Corrupt","Fits Fire, Corrupt."
T-006,Teacher,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.85.,Effectiveness,Multiply,0.85,Uncommon,79,"Water, Grass","Fits Water, Grass."
T-007,Foreman,EventStacksTitleSO,Gains stacking bonus when triggering events. Value: 3.,ATK,Per Stack,3,Common,75,"Clash, Umbral","Fits Clash, Umbral."
T-008,Analyst,TurnBoosterTitleSO,Increases stat by % each turn. Value: 2.,ATK,Per Turn,2,Uncommon,76,"Clash, Wyrm","Fits Clash, Wyrm."
T-009,Guard,TypeResistTitleSO,Reduces damage from specific monster types. Value: 0.9.,Damage,Multiply,0.9,Uncommon,86,"Rock, Alloy","Fits Rock, Alloy."
T-010,Builder,ConditionalJobRateBoosterTitleSO,Increases job production rate. Value: 1.1.,Job Rate,Multiply,1.1,Uncommon,74,"Bug, Oracle","Fits Bug, Oracle."
T-011,Operator,JobAuraTitleSO,Boosts allies' job rate. Value: 1.05.,Job Rate (Allies),Multiply,1.05,Common,56,"Alloy, Bug","Fits Alloy, Bug."
T-012,Planner,JobCapacityBoosterTitleSO,Adds worker slots to job site. Value: 1.,Capacity,Add,1,Common,77,"Ground, Alloy","Fits Ground, Alloy."
T-013,Cook,JobFatigueBoosterTitleSO,Slows fatigue gain while working. Value: 0.9.,Fatigue Rate,Multiply,0.9,Uncommon,78,"Grass, Oracle","Fits Grass, Oracle."
T-014,Trainer,CoinBonusOnVictoryTitleSO,Increases coins after victory. Value: 1.1.,Coins,Multiply,1.1,Uncommon,61,"Alloy, Grass","Fits Alloy, Grass."
T-015,Electrician,GrowthCoreBonusOnVictoryTitleSO,Increases growth cores gained. Value: 1.1.,Growth Cores,Multiply,1.1,Uncommon,77,"Oracle, Bug","Fits Oracle, Bug."
T-016,Scientist,ConditionalStatBoosterTitleSO,Boosts stat under condition. Value: 1.1.,ATK,Multiply,1.1,Uncommon,68,"Clash, Wyrm","Fits Clash, Wyrm."
T-017,Librarian,ConditionalDualStatBoosterTitleSO,Boosts two stats under condition. Value: 1.05.,ATK+SPD,Multiply,1.05,Common,72,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-018,Supervisor,DualStatBoosterTitleSO,Boosts two stats. Value: 1.05.,ATK+DEF,Multiply,1.05,Common,80,"Clash, Corrupt","Fits Clash, Corrupt."
T-019,Assistant,StatBoosterTitleSO,Boosts single stat. Value: 1.1.,ATK,Multiply,1.1,Uncommon,60,"Umbral, Fire","Fits Umbral, Fire."
T-020,Artisan,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 10.,ATK,Add,10,Common,72,"Clash, Fire","Fits Clash, Fire."
T-021,Surveyor,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 15.,ATK,Add,15,Uncommon,55,"Corrupt, Fire","Fits Corrupt, Fire."
T-022,Pilot,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 20.,ATK,Add,20,Rare,49,"Clash, Corrupt","Fits Clash, Corrupt."
T-023,Captain,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 25.,ATK,Add,25,Epic,19,"Clash, Fire","Fits Clash, Fire."
T-024,Analyst,BattleStartFlatTitleSO,Adds flat stat bonus at battle start. Value: 30.,ATK,Add,30,Legendary,10,"Clash, Corrupt","Fits Clash, Corrupt."
T-025,Commander,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 10.,HP,Percent,10,Common,72,"Water, Alloy","Fits Water, Alloy."
T-026,Doctor,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 15.,HP,Percent,15,Uncommon,55,"Water, Ground","Fits Water, Ground."
T-027,Guard,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 20.,HP,Percent,20,Rare,49,"Water, Rock","Fits Water, Rock."
T-028,Judge,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 25.,HP,Percent,25,Epic,19,"Ground, Water","Fits Ground, Water."
T-029,Botanist,BattleStartShieldTitleSO,Grants shield based on Max HP at battle start. Value: 30.,HP,Percent,30,Legendary,10,"Alloy, Water","Fits Alloy, Water."
T-030,Officer,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.1.,ATK,Multiply,1.1,Common,72,"Corrupt, Wyrm","Fits Corrupt, Wyrm."
T-031,Coach,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.15.,ATK,Multiply,1.15,Uncommon,55,"Clash, Corrupt","Fits Clash, Corrupt."
T-032,Surgeon,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.2.,ATK,Multiply,1.2,Rare,49,"Corrupt, Clash","Fits Corrupt, Clash."
T-033,Cook,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.25.,ATK,Multiply,1.25,Epic,19,"Umbral, Clash","Fits Umbral, Clash."
T-034,Producer,ClutchBoosterTitleSO,Boosts stats when HP below 25%. Value: 1.3.,ATK,Multiply,1.3,Legendary,10,"Umbral, Wyrm","Fits Umbral, Wyrm."
T-035,Broker,DamageFilterTitleSO,Reduces incoming damage. Value: 0.95.,Damage,Multiply,0.95,Common,72,"Grass, Ground","Fits Grass, Ground."
T-036,Miner,DamageFilterTitleSO,Reduces incoming damage. Value: 0.9.,Damage,Multiply,0.9,Uncommon,55,"Ground, Alloy","Fits Ground, Alloy."
T-037,Planner,DamageFilterTitleSO,Reduces incoming damage. Value: 0.85.,Damage,Multiply,0.85,Rare,49,"Water, Alloy","Fits Water, Alloy."
T-038,Therapist,DamageFilterTitleSO,Reduces incoming damage. Value: 0.8.,Damage,Multiply,0.8,Epic,19,"Alloy, Grass","Fits Alloy, Grass."
T-039,Planner,DamageFilterTitleSO,Reduces incoming damage. Value: 0.75.,Damage,Multiply,0.75,Legendary,10,"Water, Grass","Fits Water, Grass."
T-040,Sailor,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.05.,Effectiveness,Multiply,1.05,Common,72,"Clash, Fire","Fits Clash, Fire."
T-041,Operator,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.1.,Effectiveness,Multiply,1.1,Uncommon,55,"Umbral, Fire","Fits Umbral, Fire."
T-042,Strategist,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.15.,Effectiveness,Multiply,1.15,Rare,49,"Fire, Clash","Fits Fire, Clash."
T-043,Programmer,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.2.,Effectiveness,Multiply,1.2,Epic,19,"Umbral, Fire","Fits Umbral, Fire."
T-044,Builder,EffectivenessModTitleSO,Increases type effectiveness. Value: 1.25.,Effectiveness,Multiply,1.25,Legendary,10,"Umbral, Corrupt","Fits Umbral, Corrupt."
T-045,Geologist,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.9.,Effectiveness,Multiply,0.9,Common,72,"Grass, Ground","Fits Grass, Ground."
T-046,Dispatcher,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.8.,Effectiveness,Multiply,0.8,Uncommon,55,"Alloy, Ground","Fits Alloy, Ground."
T-047,Blacksmith,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.7.,Effectiveness,Multiply,0.7,Rare,49,"Water, Ground","Fits Water, Ground."
T-048,Pilot,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.6.,Effectiveness,Multiply,0.6,Epic,19,"Rock, Ground","Fits Rock, Ground."
T-049,Coordinator,EffectivenessNullifyTitleSO,Reduces type weakness damage. Value: 0.5.,Effectiveness,Multiply,0.5,Legendary,10,"Ground, Rock","Fits Ground, Rock."
